	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6308	6609	261	韓奕	261.6	1	溥彼韓城	溥 + 彼 + 韓 + 城	溥 + 彼 + 韓 + 城		城	0 0 0 0	e
6310	6611	261	韓奕	261.6	3	以先祖受命	以 + 先 + 祖 + 受 + 命	以 + 先 + 祖 + 受 + 命		命	0 0 0 0 0	i
6328	6631	262	江漢	262.2	1	江漢a湯a湯	江 + 漢 + 湯 + 湯	江 + 漢 + 湯 + 湯	262.2.a	湯	0 0 1555 1555	a
6330	6635	262	江漢	262.2	5	經營四a方	經 + 營 + 四 + 方	經 + 營 + 四 + 方	262.2.a	方	0 0 0 1555	a
6331	6636	262	江漢	262.2	6	告成于a王	告 + 成 + 于 + 王	告 + 成 + 于 + 王	262.2.a	王	0 0 0 1555	a
6332	6637	262	江漢	262.2	7	四方既b平	四 + 方 + 既 + 平	四 + 方 + 既 + 平	262.2.b	平	0 0 0 1556	e
6333	6638	262	江漢	262.2	8	王國庶b定	王 + 國 + 庶 + 定	王 + 國 + 庶 + 定	262.2.b	定	0 0 0 1556	e
6334	6639	262	江漢	262.2	9	時靡有b爭	時 + 靡 + 有 + 爭	時 + 靡 + 有 + 爭	262.2.b	爭	0 0 0 1556	e
6335	6640	262	江漢	262.2	10	王心載b寧	王 + 心 + 載 + 寧	王 + 心 + 載 + 寧	262.2.b	寧	0 0 0 1556	e
6338	6643	262	江漢	262.3	3	式辟四方	式 + 辟 + 四 + 方	式 + 辟 + 四 + 方		方	0 0 0 0	a
6346	6651	262	江漢	262.4	3	文武受命	文 + 武 + 受 + 命	文 + 武 + 受 + 命		命	0 0 0 0	i
6350	6655	262	江漢	262.4	7	肇敏戎公	肇 + 敏 + 戎 + 公	肇 + 敏 + 戎 + 公		公	0 0 0 0	o
6354	6659	262	江漢	262.5	3	告于文a人	告 + 于 + 文 + 人	告 + 于 + 文 + 人	262.5.a	人	0 0 0 1562	i
6355	6660	262	江漢	262.5	4	錫山土a田	錫 + 山 + 土 + 田	錫 + 山 + 土 + 田	262.5.a	田	0 0 0 1562	i
6356	6661	262	江漢	262.5	5	于周受a命	于 + 周 + 受 + 命	于 + 周 + 受 + 命	262.5.a	命	0 0 0 1562	i
6357	6662	262	江漢	262.5	6	自召祖a命	自 + 召 + 祖 + 命	自 + 召 + 祖 + 命	262.5.a	命	0 0 0 1562	i
6359	6664	262	江漢	262.5	8	天子萬a年	天 + 子 + 萬 + 年	天 + 子 + 萬 + 年	262.5.a	年	0 0 0 1562	i
6368	6673	263	常武	263.1	1	赫赫明明	赫 + 赫 + 明 + 明	赫 + 赫 + 明 + 明		明	0 0 0 0	a
6373	6678	263	常武	263.1	6	以脩我b戎	以 + 脩 + 我 + 戎	以 + 脩 + 我 + 戎	263.1.b	戎	0 0 0 1567	u
6378	6683	263	常武	263.2	3	左右陳行	左 + 右 + 陳 + 行	左 + 右 + 陳 + 行		行	0 0 0 0	a
6389	6694	263	常武	263.3	6	震驚徐方	震 + 驚 + 徐 + 方	震 + 驚 + 徐 + 方		方	0 0 0 0	a
6391	6696	263	常武	263.3	8	徐方震b驚	徐 + 方 + 震 + 驚	徐 + 方 + 震 + 驚	263.3.b	驚	0 0 0 1570	e
6394	6699	263	常武	263.4	3	進厥虎臣	進 + 厥 + 虎 + 臣	進 + 厥 + 虎 + 臣		臣	0 0 0 0	i
6410	6717	263	常武	263.6	3	徐方既b同	徐 + 方 + 既 + 同	徐 + 方 + 既 + 同	263.6.b	同	0 0 0 1576	o
