	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6862	7185	297	駉	297.1	9	思馬斯b臧	思 + 馬 + 斯 + 臧	思 + 馬 + 斯 + 臧	297.1.b	臧	0 0 0 1676	a
6888	7214	298	有駜	298.1	2	駜彼乘a黃	駜 + 彼 + 乘 + 黃	駜 + 彼 + 乘 + 黃	298.1.a	黃	0 0 0 1683	a
6889	7215	298	有駜	298.1	3	夙夜在公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公		公	0 0 0 0	o
6890	7216	298	有駜	298.1	4	在公a明a明	在 + 公 + 明 + 明	在 + 公 + 明 + 明	298.1.a	明	0 0 1683 1683	a
6898	7225	298	有駜	298.2	3	夙夜在公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公		公	0 0 0 0	o
6907	7234	298	有駜	298.3	3	夙夜在公	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公		公	0 0 0 0	o
6948	7279	299	泮水	299.5	3	既作泮宮	既 + 作 + 泮 + 宮	既 + 作 + 泮 + 宮		宮	0 0 0 0	u
6950	7281	299	泮水	299.5	5	矯矯虎臣	矯 + 矯 + 虎 + 臣	矯 + 矯 + 虎 + 臣		臣	0 0 0 0	i
6956	7287	299	泮水	299.6	3	桓桓于征	桓 + 桓 + 于 + 征	桓 + 桓 + 于 + 征		征	0 0 0 0	e
6958	7289	299	泮水	299.6	5	烝烝b皇b皇	烝 + 烝 + 皇 + 皇	烝 + 烝 + 皇 + 皇	299.6.b	皇	0 0 1698 1698	a
6959	7291	299	泮水	299.6	7	不吳不b揚	不 + 吳 + 不 + 揚	不 + 吳 + 不 + 揚	299.6.b	揚	0 0 0 1698	a
6960	7292	299	泮水	299.6	8	不告于c訩	不 + 告 + 于 + 訩	不 + 告 + 于 + 訩	299.6.c	訩	0 0 0 1699	o
6961	7293	299	泮水	299.6	9	在泮獻c功	在 + 泮 + 獻 + 功	在 + 泮 + 獻 + 功	299.6.c	功	0 0 0 1699	o
6976	7308	299	泮水	299.8	7	元龜象齒	元 + 龜 + 象 + 齒	元 + 龜 + 象 + 齒		齒	0 0 0 0	ə
6996	7329	300	閟宮	300.2	2	實維大a王	實 + 維 + 大 + 王	實 + 維 + 大 + 王	300.2.a	王	0 0 0 1706	a
6997	7330	300	閟宮	300.2	3	居岐之a陽	居 + 岐 + 之 + 陽	居 + 岐 + 之 + 陽	300.2.a	陽	0 0 0 1706	a
6998	7331	300	閟宮	300.2	4	實始翦a商	實 + 始 + 翦 + 商	實 + 始 + 翦 + 商	300.2.a	商	0 0 0 1706	a
7006	7339	300	閟宮	300.2	12	克咸厥功	克 + 咸 + 厥 + 功	克 + 咸 + 厥 + 功		功	0 0 0 0	o
7012	7345	300	閟宮	300.3	1	乃命魯a公	乃 + 命 + 魯 + 公	乃 + 命 + 魯 + 公	300.3.a	公	0 0 0 1708	o
7013	7346	300	閟宮	300.3	2	俾侯于a東	俾 + 侯 + 于 + 東	俾 + 侯 + 于 + 東	300.3.a	東	0 0 0 1708	o
7015	7348	300	閟宮	300.3	4	土田附a庸	土 + 田 + 附 + 庸	土 + 田 + 附 + 庸	300.3.a	庸	0 0 0 1708	o
7029	7363	300	閟宮	300.4	1	秋而載a嘗	秋 + 而 + 載 + 嘗	秋 + 而 + 載 + 嘗	300.4.a	嘗	0 0 0 1714	a
7030	7364	300	閟宮	300.4	2	夏而楅a衡	夏 + 而 + 楅 + 衡	夏 + 而 + 楅 + 衡	300.4.a	衡	0 0 0 1714	a
7031	7365	300	閟宮	300.4	3	白牡騂a剛	白 + 牡 + 騂 + 剛	白 + 牡 + 騂 + 剛	300.4.a	剛	0 0 0 1714	a
7032	7366	300	閟宮	300.4	4	犧尊a將a將	犧 + 尊 + 將 + 將	犧 + 尊 + 將 + 將	300.4.a	將	0 0 1714 1714	a
7033	7368	300	閟宮	300.4	6	毛炰胾a羹	毛 + 炰 + 胾 + 羹	毛 + 炰 + 胾 + 羹	300.4.a	羹	0 0 0 1714	a
7034	7369	300	閟宮	300.4	7	籩豆大a房	籩 + 豆 + 大 + 房	籩 + 豆 + 大 + 房	300.4.a	房	0 0 0 1714	a
7035	7370	300	閟宮	300.4	8	萬舞洋a洋	萬 + 舞 + 洋 + 洋	萬 + 舞 + 洋 + 洋	300.4.a	洋	0 0 0 1714	a
7036	7371	300	閟宮	300.4	9	孝孫有a慶	孝 + 孫 + 有 + 慶	孝 + 孫 + 有 + 慶	300.4.a	慶	0 0 0 1714	a
7038	7373	300	閟宮	300.4	11	俾爾壽而a臧	俾 + 爾 + 壽 + 而 + 臧	俾 + 爾 + 壽 + 而 + 臧	300.4.a	臧	0 0 0 0 1714	a
7039	7374	300	閟宮	300.4	12	保彼東a方	保 + 彼 + 東 + 方	保 + 彼 + 東 + 方	300.4.a	方	0 0 0 1714	a
7040	7375	300	閟宮	300.4	13	魯邦是a常	魯 + 邦 + 是 + 常	魯 + 邦 + 是 + 常	300.4.a	常	0 0 0 1714	a
7041	7376	300	閟宮	300.4	14	不虧不b崩	不 + 虧 + 不 + 崩	不 + 虧 + 不 + 崩	300.4.b	崩	0 0 0 1715	ə
7042	7377	300	閟宮	300.4	15	不震不b騰	不 + 震 + 不 + 騰	不 + 震 + 不 + 騰	300.4.b	騰	0 0 0 1715	ə
7043	7378	300	閟宮	300.4	16	三壽作b朋	三 + 壽 + 作 + 朋	三 + 壽 + 作 + 朋	300.4.b	朋	0 0 0 1715	ə
7044	7379	300	閟宮	300.4	17	如岡如b陵	如 + 岡 + 如 + 陵	如 + 岡 + 如 + 陵	300.4.b	陵	0 0 0 1715	ə
7045	7380	300	閟宮	300.5	1	公車千a乘	公 + 車 + 千 + 乘	公 + 車 + 千 + 乘	300.5.a	乘	0 0 0 1716	ə
7046	7381	300	閟宮	300.5	2	朱英綠a縢	朱 + 英 + 綠 + 縢	朱 + 英 + 綠 + 縢	300.5.a	縢	0 0 0 1716	ə
7047	7382	300	閟宮	300.5	3	二矛重a弓	二 + 矛 + 重 + 弓	二 + 矛 + 重 + 弓	300.5.a	弓	0 0 0 1716	ə
7050	7385	300	閟宮	300.5	6	烝徒a增a增	烝 + 徒 + 增 + 增	烝 + 徒 + 增 + 增	300.5.a	增	0 0 1716 1716	ə
7051	7387	300	閟宮	300.5	8	戎狄是a膺	戎 + 狄 + 是 + 膺	戎 + 狄 + 是 + 膺	300.5.a	膺	0 0 0 1716	ə
7052	7388	300	閟宮	300.5	9	荊舒適a懲	荊 + 舒 + 適 + 懲	荊 + 舒 + 適 + 懲	300.5.a	懲	0 0 0 1716	ə
7053	7389	300	閟宮	300.5	10	則莫我敢a承	則 + 莫 + 我 + 敢 + 承	則 + 莫 + 我 + 敢 + 承	300.5.a	承	0 0 0 0 1716	ə
7064	7400	300	閟宮	300.6	3	奄有龜b蒙	奄 + 有 + 龜 + 蒙	奄 + 有 + 龜 + 蒙	300.6.b	蒙	0 0 0 1720	o
7065	7401	300	閟宮	300.6	4	遂荒大b東	遂 + 荒 + 大 + 東	遂 + 荒 + 大 + 東	300.6.b	東	0 0 0 1720	o
7067	7403	300	閟宮	300.6	6	至于海b邦	至 + 于 + 海 + 邦	至 + 于 + 海 + 邦	300.6.b	邦	0 0 0 1720	o
7068	7404	300	閟宮	300.6	7	淮夷來b同	淮 + 夷 + 來 + 同	淮 + 夷 + 來 + 同	300.6.b	同	0 0 0 1720	o
7069	7405	300	閟宮	300.6	8	莫不率b從	莫 + 不 + 率 + 從	莫 + 不 + 率 + 從	300.6.b	從	0 0 0 1720	o
7070	7406	300	閟宮	300.6	9	魯侯之b功	魯 + 侯 + 之 + 功	魯 + 侯 + 之 + 功	300.6.b	功	0 0 0 1720	o
7073	7409	300	閟宮	300.7	3	至于海b邦	至 + 于 + 海 + 邦	至 + 于 + 海 + 邦	300.7.b	邦	0 0 0 1722	o
7076	7412	300	閟宮	300.7	6	莫不率b從	莫 + 不 + 率 + 從	莫 + 不 + 率 + 從	300.7.b	從	0 0 0 1722	o
7088	7424	300	閟宮	300.8	10	黃髮兒b齒	黃 + 髮 + 兒 + 齒	黃 + 髮 + 兒 + 齒	300.8.b	齒	0 0 0 1724	ə
7089	7425	300	閟宮	300.9	1	徂來之松	徂 + 來 + 之 + 松	徂 + 來 + 之 + 松		松	0 0 0 0	o
7104	7442	301	那	301.1	7	綏我思c成	綏 + 我 + 思 + 成	綏 + 我 + 思 + 成	301.1.c	成	0 0 0 1728	e
7105	7443	301	那	301.1	8	鼓淵淵	鼓 + 淵 + 淵	鼓 + 淵 + 淵		淵	0 0 0	i
7106	7444	301	那	301.1	9	嘒嘒管c聲	嘒 + 嘒 + 管 + 聲	嘒 + 嘒 + 管 + 聲	301.1.c	聲	0 0 0 1728	e
7107	7445	301	那	301.1	10	既和且c平	既 + 和 + 且 + 平	既 + 和 + 且 + 平	301.1.c	平	0 0 0 1728	e
7108	7446	301	那	301.1	11	依我c聲c聲	依 + 我 + 聲 + 聲	依 + 我 + 聲 + 聲	301.1.c	聲	0 0 1728 1728	e
7110	7449	301	那	301.1	14	穆穆厥c聲	穆 + 穆 + 厥 + 聲	穆 + 穆 + 厥 + 聲	301.1.c	聲	0 0 0 1728	e
7119	7458	301	那	301.1	23	顧予烝e嘗	顧 + 予 + 烝 + 嘗	顧 + 予 + 烝 + 嘗	301.1.e	嘗	0 0 0 1730	a
7120	7459	301	那	301.1	24	湯孫之e將	湯 + 孫 + 之 + 將	湯 + 孫 + 之 + 將	301.1.e	將	0 0 0 1730	a
7123	7462	302	烈祖	302.1	3	申錫無疆	申 + 錫 + 無 + 疆	申 + 錫 + 無 + 疆		疆	0 0 0 0	a
7126	7465	302	烈祖	302.1	6	賚我思b成	賚 + 我 + 思 + 成	賚 + 我 + 思 + 成	302.1.b	成	0 0 0 1732	e
7127	7466	302	烈祖	302.1	7	亦有和羹	亦 + 有 + 和 + 羹	亦 + 有 + 和 + 羹		羹	0 0 0 0	a
7128	7467	302	烈祖	302.1	8	既戒既b平	既 + 戒 + 既 + 平	既 + 戒 + 既 + 平	302.1.b	平	0 0 0 1732	e
7130	7469	302	烈祖	302.1	10	時靡有b爭	時 + 靡 + 有 + 爭	時 + 靡 + 有 + 爭	302.1.b	爭	0 0 0 1732	e
7132	7471	302	烈祖	302.1	12	黃耇無c疆	黃 + 耇 + 無 + 疆	黃 + 耇 + 無 + 疆	302.1.c	疆	0 0 0 1733	a
7133	7472	302	烈祖	302.1	13	約軧錯c衡	約 + 軧 + 錯 + 衡	約 + 軧 + 錯 + 衡	302.1.c	衡	0 0 0 1733	a
7135	7475	302	烈祖	302.1	16	以假以c享	以 + 假 + 以 + 享	以 + 假 + 以 + 享	302.1.c	享	0 0 0 1733	a
7136	7476	302	烈祖	302.1	17	我受命溥c將	我 + 受 + 命 + 溥 + 將	我 + 受 + 命 + 溥 + 將	302.1.c	將	0 0 0 0 1733	a
7137	7477	302	烈祖	302.1	18	自天降c康	自 + 天 + 降 + 康	自 + 天 + 降 + 康	302.1.c	康	0 0 0 1733	a
7139	7480	302	烈祖	302.1	21	來假來c饗	來 + 假 + 來 + 饗	來 + 假 + 來 + 饗	302.1.c	饗	0 0 0 1733	a
7140	7481	302	烈祖	302.1	22	降福無c疆	降 + 福 + 無 + 疆	降 + 福 + 無 + 疆	302.1.c	疆	0 0 0 1733	a
7141	7482	302	烈祖	302.1	23	顧予烝c嘗	顧 + 予 + 烝 + 嘗	顧 + 予 + 烝 + 嘗	302.1.c	嘗	0 0 0 1733	a
7142	7483	302	烈祖	302.1	24	湯孫之c將	湯 + 孫 + 之 + 將	湯 + 孫 + 之 + 將	302.1.c	將	0 0 0 1733	a
7144	7485	303	玄鳥	303.1	2	降而生a商	降 + 而 + 生 + 商	降 + 而 + 生 + 商	303.1.a	商	0 0 0 1734	a
7145	7486	303	玄鳥	303.1	3	宅殷土a芒a芒	宅 + 殷 + 土 + 芒 + 芒	宅 + 殷 + 土 + 芒 + 芒	303.1.a	芒	0 0 0 1734 1734	a
7146	7488	303	玄鳥	303.1	5	古帝命武a湯	古 + 帝 + 命 + 武 + 湯	古 + 帝 + 命 + 武 + 湯	303.1.a	湯	0 0 0 0 1734	a
7147	7489	303	玄鳥	303.1	6	正域彼四a方	正 + 域 + 彼 + 四 + 方	正 + 域 + 彼 + 四 + 方	303.1.a	方	0 0 0 0 1734	a
7154	7496	303	玄鳥	303.1	13	武王靡不c勝	武 + 王 + 靡 + 不 + 勝	武 + 王 + 靡 + 不 + 勝	303.1.c	勝	0 0 0 0 1736	ə
7155	7497	303	玄鳥	303.1	14	龍旂十c乘	龍 + 旂 + 十 + 乘	龍 + 旂 + 十 + 乘	303.1.c	乘	0 0 0 1736	ə
7156	7498	303	玄鳥	303.1	15	大饎是c承	大 + 饎 + 是 + 承	大 + 饎 + 是 + 承	303.1.c	承	0 0 0 1736	ə
7165	7508	304	長發	304.1	1	濬哲維a商	濬 + 哲 + 維 + 商	濬 + 哲 + 維 + 商	304.1.a	商	0 0 0 1739	a
7166	7509	304	長發	304.1	2	長發其a祥	長 + 發 + 其 + 祥	長 + 發 + 其 + 祥	304.1.a	祥	0 0 0 1739	a
7167	7510	304	長發	304.1	3	洪水a芒a芒	洪 + 水 + 芒 + 芒	洪 + 水 + 芒 + 芒	304.1.a	芒	0 0 1739 1739	a
7168	7512	304	長發	304.1	5	禹敷下土a方	禹 + 敷 + 下 + 土 + 方	禹 + 敷 + 下 + 土 + 方	304.1.a	方	0 0 0 0 1739	a
7169	7513	304	長發	304.1	6	外大國是a疆	外 + 大 + 國 + 是 + 疆	外 + 大 + 國 + 是 + 疆	304.1.a	疆	0 0 0 0 1739	a
7170	7514	304	長發	304.1	7	幅隕既a長	幅 + 隕 + 既 + 長	幅 + 隕 + 既 + 長	304.1.a	長	0 0 0 1739	a
7171	7515	304	長發	304.1	8	有娀方a將	有 + 娀 + 方 + 將	有 + 娀 + 方 + 將	304.1.a	將	0 0 0 1739	a
7172	7516	304	長發	304.1	9	帝立子生a商	帝 + 立 + 子 + 生 + 商	帝 + 立 + 子 + 生 + 商	304.1.a	商	0 0 0 0 1739	a
7195	7542	304	長發	304.5	2	為下國駿a厖	為 + 下 + 國 + 駿 + 厖	為 + 下 + 國 + 駿 + 厖	304.5.a	厖	0 0 0 0 1743	o
7196	7543	304	長發	304.5	3	何天之a龍	何 + 天 + 之 + 龍	何 + 天 + 之 + 龍	304.5.a	龍	0 0 0 1743	o
7197	7544	304	長發	304.5	4	敷奏其a勇	敷 + 奏 + 其 + 勇	敷 + 奏 + 其 + 勇	304.5.a	勇	0 0 0 1743	o
7198	7545	304	長發	304.5	5	不震不a動	不 + 震 + 不 + 動	不 + 震 + 不 + 動	304.5.a	動	0 0 0 1743	o
7200	7547	304	長發	304.5	7	百祿是a總	百 + 祿 + 是 + 總	百 + 祿 + 是 + 總	304.5.a	總	0 0 0 1743	o
7214	7562	304	長發	304.7	5	實維阿c衡	實 + 維 + 阿 + 衡	實 + 維 + 阿 + 衡	304.7.c	衡	0 0 0 1747	a
7215	7563	304	長發	304.7	6	實左右商c王	實 + 左 + 右 + 商 + 王	實 + 左 + 右 + 商 + 王	304.7.c	王	0 0 0 0 1747	a
7223	7571	305	殷武	305.2	2	居國南a鄉	居 + 國 + 南 + 鄉	居 + 國 + 南 + 鄉	305.2.a	鄉	0 0 0 1749	a
7224	7572	305	殷武	305.2	3	昔有成a湯	昔 + 有 + 成 + 湯	昔 + 有 + 成 + 湯	305.2.a	湯	0 0 0 1749	a
7225	7573	305	殷武	305.2	4	自彼氐a羌	自 + 彼 + 氐 + 羌	自 + 彼 + 氐 + 羌	305.2.a	羌	0 0 0 1749	a
7226	7574	305	殷武	305.2	5	莫幹不來a享	莫 + 幹 + 不 + 來 + 享	莫 + 幹 + 不 + 來 + 享	305.2.a	享	0 0 0 0 1749	a
7227	7575	305	殷武	305.2	6	莫幹不來a王	莫 + 幹 + 不 + 來 + 王	莫 + 幹 + 不 + 來 + 王	305.2.a	王	0 0 0 0 1749	a
7228	7576	305	殷武	305.2	7	曰商是a常	曰 + 商 + 是 + 常	曰 + 商 + 是 + 常	305.2.a	常	0 0 0 1749	a
7242	7591	305	殷武	305.5	4	赫赫厥b聲	赫 + 赫 + 厥 + 聲	赫 + 赫 + 厥 + 聲	305.5.b	聲	0 0 0 1754	e
7243	7592	305	殷武	305.5	5	濯濯厥b靈	濯 + 濯 + 厥 + 靈	濯 + 濯 + 厥 + 靈	305.5.b	靈	0 0 0 1754	e
7244	7593	305	殷武	305.5	6	壽考且b寧	壽 + 考 + 且 + 寧	壽 + 考 + 且 + 寧	305.5.b	寧	0 0 0 1754	e
7245	7594	305	殷武	305.5	7	以保我後b生	以 + 保 + 我 + 後 + 生	以 + 保 + 我 + 後 + 生	305.5.b	生	0 0 0 0 1754	e
