Bibliography, ,
,,
,CITATION ID,FULL REFERENCE
,GGKY 2020,"Gan gao ke yu 敢告可于. ""Han du Cang Jie pian kaoshi duidu yu zhangxu yanjiu 漢牘蒼頡篇考釋對讀與章序研究."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 16 August 2020, http://www.gwz.fudan.edu.cn/Web/Show/4616."
,Greatrex 1994,"Greatrex, Roger. “An Early Western Han Synonymicon: The Fuyang copy of the Cang Jie pian.” In Outstretched Leaves on his Bamboo Staff: Studies in Honour of Göran Malmqvist on his 70th Birthday. Ed. Joakim Enwall, 97-113. Stockholm: Association of Oriental Studies, 1994."
,Hu 1986,"Hu Pingsheng 胡平生. ""Yumen wuwei xinhuo jiandu wenzi jiaoshi 玉門武威新獲簡牘文字校釋."" Kaogu yu wenwu 考古與文物 6 (1986): 92-9."
,Jiayuguanshi wenwu baoguansuo 1984,"Jiayuguanshi wenwu baoguansuo 嘉峪關市文物保管所. “Yumen Huahai Han dai fengsui yizhi chutu de jiandu 玉門花海漢代烽燧遺址出土的簡牘.” In Han jian yanjiu wenji 漢簡研究文集. Li Deqi 李德奇, ed., 15-33. Lanzhou: Gansu renmin chubanshe, 1984."
,"List, Hill, Foster 2019","Johann-Mattis List, Nathan. W. Hill, and Christopher J. Foster. “Towards a Standardized Annotation of Rhyme Judgments in Chinese Historical Phonology (and Beyond).” Journal of Language Relationship 17 (2019): 26-43, https://doi.org/10.31826/jlr-2019-171-207."
,Yu 2020,"Yu Miao 于淼. ""Ju Beida jianshi Fuyang Han jian Cang Jie pian erze 據北大簡釋阜陽漢簡蒼頡篇二則."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 11 June 2020, http://www.gwz.fudan.edu.cn/Web/Show/4576."
,Zhang 2015,"Zhang Cunliang 張存良. ""Cang Jie pian yandu xianqin (yi) -- Beida jian Shanglu zhang zhuibu 蒼頡篇研讀獻芹(一)——北大簡《賞祿》章綴補."" Wuhan University Center of Bamboo and Silk Manuscripts 武漢大學簡帛中心 Bamboo and Silk Article Database 簡帛文庫. 24 November 2015, http://www.bsm.org.cn/show_article.php?id=2371. "
,Zhang 2019a,"Zhang Chuanguan 張傳官. ""Beida Han jian Cang Jie pian pinhe yi ze 北大漢簡蒼頡篇拼合⼀則."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 28 November 2019, www.gwz.fudan.edu.cn/Web/Show/4489."
,Zhang 2019b,"Zhang Chuanguan 張傳官. ""Guanyu Cang Jie pian diyi zhang de fuyuan 關於蒼頡篇第一章的復原."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 19 December 2019, http://www.gwz.fudan.edu.cn/Web/Show/4507."
,Zhang 2019c,"Zhang Chuanguan 張傳官. ""Tantan xinjian mudu Cang Jie pian de xueshu jiazhi 談談新⾒⽊牘蒼頡篇的學術價值."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 25 December 2019, http://www.gwz.fudan.edu.cn/Web/Show/4510."
,Zhang 2020a,"Zhang Chuanguan 張傳官. ""Shuiquanzi Han jian Cang Jie pian pinhe wuze 水泉子漢簡蒼頡篇拼合五則."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 11 January 2020, http://www.gwz.fudan.edu.cn/Web/Show/4532."
,Zhang 2020b,"Zhang Chuanguan 張傳官. ""Fuyang Han jian Cang Jie pian pinhe size 阜陽漢簡蒼頡篇拼合四則."" Fudan University Center for Research on Chinese Excavated Classics and Paleography 復旦大學出土文獻與古文字研究中心 Article Database. 11 January 2020, http://www.gwz.fudan.edu.cn/Web/Show/4533."
,Zhang and Ju 2016,"Zhang Cunliang 張存良 and Ju Hong 巨虹. ""Yingguo guojia tushuguan cang Sitanyin suohuo Han wwen jiandu weikan bufen 英國國家圖書館藏斯坦因所獲漢文簡牘部分."" Wenwu 文物 6 (2016): 75-9. "
,Zhou 2015,"Zhou Fei 周飛. ""Beida jian Cang Jie pian chudu 北大簡蒼頡篇初讀."" Tsinghua University Unearthed Research and Protection Center 清華大學出土文獻研究與保護中心 Article Database (http://www.ctwx.tsinghua.edu.cn/publish/cetrp/6843/index.html). 13 November 2015."
